20:46:52: Executing task 'JvmComprehension.main()'...

> Task :compileJava
> Task :processResources NO-SOURCE
> Task :classes

> Task :JvmComprehension.main()
[0.009s][info][class,load] opened: C:\Program Files\Java\jdk-14.0.1\lib\modules
[0.030s][info][class,load] java.lang.ref.SoftReference source: shared objects file
[0.030s][info][class,load] java.lang.ref.WeakReference source: shared objects file
[0.030s][info][class,load] java.lang.ref.FinalReference source: shared objects file
[0.030s][info][class,load] java.lang.ref.PhantomReference source: shared objects file
[0.030s][info][class,load] java.lang.ref.Finalizer source: shared objects file
[0.030s][info][class,load] java.lang.Runnable source: shared objects file
[0.030s][info][class,load] java.lang.Thread source: shared objects file
[0.030s][info][class,load] java.lang.Thread$UncaughtExceptionHandler source: shared objects file
[0.030s][info][class,load] java.lang.ThreadGroup source: shared objects file
[0.030s][info][class,load] java.util.Dictionary source: shared objects file
[0.030s][info][class,load] java.util.Map source: shared objects file
[0.030s][info][class,load] java.util.Hashtable source: shared objects file
[0.030s][info][class,load] java.util.Properties source: shared objects file
[0.031s][info][class,load] java.lang.Module source: shared objects file
[0.031s][info][class,load] java.lang.reflect.AccessibleObject source: shared objects file
[0.031s][info][class,load] java.lang.reflect.Member source: shared objects file
[0.031s][info][class,load] java.lang.reflect.Field source: shared objects file
[0.031s][info][class,load] java.lang.reflect.Parameter source: shared objects file
[0.031s][info][class,load] java.lang.reflect.Executable source: shared objects file
[0.031s][info][class,load] java.lang.reflect.Method source: shared objects file
[0.031s][info][class,load] java.lang.reflect.Constructor source: shared objects file
[0.031s][info][class,load] jdk.internal.reflect.MagicAccessorImpl source: shared objects file
[0.031s][info][class,load] jdk.internal.reflect.MethodAccessor source: shared objects file
[0.031s][info][class,load] jdk.internal.reflect.MethodAccessorImpl source: shared objects file
[0.031s][info][class,load] jdk.internal.reflect.ConstructorAccessor source: shared objects file
[0.031s][info][class,load] jdk.internal.reflect.ConstructorAccessorImpl source: shared objects file
[0.031s][info][class,load] jdk.internal.reflect.DelegatingClassLoader source: shared objects file
[0.031s][info][class,load] jdk.internal.reflect.ConstantPool source: shared objects file
[0.031s][info][class,load] jdk.internal.reflect.FieldAccessor source: shared objects file
[0.031s][info][class,load] jdk.internal.reflect.FieldAccessorImpl source: shared objects file
[0.031s][info][class,load] jdk.internal.reflect.UnsafeFieldAccessorImpl source: shared objects file
[0.031s][info][class,load] jdk.internal.reflect.UnsafeStaticFieldAccessorImpl source: shared objects file
[0.031s][info][class,load] java.lang.annotation.Annotation source: shared objects file
[0.031s][info][class,load] jdk.internal.reflect.CallerSensitive source: shared objects file
[0.031s][info][class,load] jdk.internal.reflect.NativeConstructorAccessorImpl source: shared objects file
[0.032s][info][class,load] java.lang.invoke.MethodHandle source: shared objects file
[0.032s][info][class,load] java.lang.invoke.DirectMethodHandle source: shared objects file
[0.032s][info][class,load] java.lang.invoke.VarHandle source: shared objects file
[0.032s][info][class,load] java.lang.invoke.MemberName source: shared objects file
[0.032s][info][class,load] java.lang.invoke.ResolvedMethodName source: shared objects file
[0.032s][info][class,load] java.lang.invoke.MethodHandleNatives source: shared objects file
[0.032s][info][class,load] java.lang.invoke.LambdaForm source: shared objects file
[0.032s][info][class,load] java.lang.invoke.TypeDescriptor$OfMethod source: shared objects file
[0.032s][info][class,load] java.lang.invoke.MethodType source: shared objects file
[0.032s][info][class,load] java.lang.BootstrapMethodError source: shared objects file
[0.032s][info][class,load] java.lang.invoke.CallSite source: shared objects file
[0.032s][info][class,load] java.lang.invoke.MethodHandleNatives$CallSiteContext source: shared objects file
[0.032s][info][class,load] java.lang.invoke.ConstantCallSite source: shared objects file
[0.032s][info][class,load] java.lang.invoke.MutableCallSite source: shared objects file
[0.032s][info][class,load] java.lang.invoke.VolatileCallSite source: shared objects file
[0.032s][info][class,load] java.lang.AssertionStatusDirectives source: shared objects file
[0.032s][info][class,load] java.lang.Appendable source: shared objects file
[0.032s][info][class,load] java.lang.AbstractStringBuilder source: shared objects file
[0.033s][info][class,load] java.lang.StringBuffer source: shared objects file
[0.033s][info][class,load] java.lang.StringBuilder source: shared objects file
[0.033s][info][class,load] jdk.internal.misc.UnsafeConstants source: shared objects file
[0.033s][info][class,load] jdk.internal.misc.Unsafe source: shared objects file
[0.033s][info][class,load] jdk.internal.module.Modules source: shared objects file
[0.033s][info][class,load] java.lang.AutoCloseable source: shared objects file
[0.033s][info][class,load] java.io.Closeable source: shared objects file
[0.033s][info][class,load] java.io.InputStream source: shared objects file
[0.033s][info][class,load] java.io.ByteArrayInputStream source: shared objects file
[0.033s][info][class,load] java.net.URL source: shared objects file
[0.033s][info][class,load] java.util.jar.Manifest source: shared objects file
[0.033s][info][class,load] jdk.internal.loader.ClassLoaders source: shared objects file
[0.034s][info][class,load] jdk.internal.loader.BuiltinClassLoader source: shared objects file
[0.034s][info][class,load] jdk.internal.loader.ClassLoaders$AppClassLoader source: shared objects file
[0.034s][info][class,load] jdk.internal.loader.ClassLoaders$PlatformClassLoader source: shared objects file
[0.034s][info][class,load] java.security.CodeSource source: shared objects file
[0.034s][info][class,load] java.lang.StackTraceElement source: shared objects file
[0.034s][info][class,load] java.nio.Buffer source: shared objects file
[0.034s][info][class,load] java.lang.StackWalker source: shared objects file
[0.034s][info][class,load] java.lang.StackStreamFactory$AbstractStackWalker source: shared objects file
[0.034s][info][class,load] java.lang.StackWalker$StackFrame source: shared objects file
[0.034s][info][class,load] java.lang.StackFrameInfo source: shared objects file
[0.034s][info][class,load] java.lang.LiveStackFrame source: shared objects file
[0.034s][info][class,load] java.lang.LiveStackFrameInfo source: shared objects file
[0.034s][info][class,load] java.util.concurrent.locks.AbstractOwnableSynchronizer source: shared objects file
[0.034s][info][class,load] java.lang.Boolean source: shared objects file
[0.034s][info][class,load] java.lang.Character source: shared objects file
[0.034s][info][class,load] java.lang.Number source: shared objects file
[0.034s][info][class,load] java.lang.Float source: shared objects file
[0.034s][info][class,load] java.lang.Double source: shared objects file
[0.034s][info][class,load] java.lang.Byte source: shared objects file
[0.034s][info][class,load] java.lang.Short source: shared objects file
[0.034s][info][class,load] java.lang.Integer source: shared objects file
[0.035s][info][class,load] java.lang.Long source: shared objects file
[0.035s][info][class,load] java.util.Iterator source: shared objects file
[0.035s][info][class,load] java.lang.reflect.RecordComponent source: shared objects file
[0.035s][info][class,load] java.lang.NullPointerException source: shared objects file
[0.035s][info][class,load] java.lang.ArithmeticException source: shared objects file
[0.036s][info][class,load] java.io.ObjectStreamField source: shared objects file
[0.036s][info][class,load] java.util.Comparator source: shared objects file
[0.036s][info][class,load] java.lang.String$CaseInsensitiveComparator source: shared objects file
[0.037s][info][class,load] java.lang.Iterable source: shared objects file
[0.037s][info][class,load] java.util.Collection source: shared objects file
[0.037s][info][class,load] java.util.Set source: shared objects file
[0.037s][info][class,load] java.util.AbstractCollection source: shared objects file
[0.037s][info][class,load] java.util.ImmutableCollections$AbstractImmutableCollection source: shared objects file
[0.037s][info][class,load] java.util.ImmutableCollections$AbstractImmutableSet source: shared objects file
[0.037s][info][class,load] java.util.ImmutableCollections$Set12 source: shared objects file
[0.037s][info][class,load] java.util.Objects source: shared objects file
[0.038s][info][class,load] jdk.internal.access.JavaLangReflectAccess source: shared objects file
[0.038s][info][class,load] java.lang.reflect.ReflectAccess source: shared objects file
[0.038s][info][class,load] jdk.internal.access.SharedSecrets source: shared objects file
[0.038s][info][class,load] java.security.PrivilegedAction source: shared objects file
[0.038s][info][class,load] jdk.internal.reflect.ReflectionFactory$GetReflectionFactoryAction source: shared objects file
[0.038s][info][class,load] jdk.internal.reflect.Reflection source: shared objects file
[0.038s][info][class,load] java.util.AbstractMap source: shared objects file
[0.038s][info][class,load] java.util.ImmutableCollections$AbstractImmutableMap source: shared objects file
[0.038s][info][class,load] java.util.ImmutableCollections$MapN source: shared objects file
[0.038s][info][class,load] jdk.internal.misc.VM source: shared objects file
[0.038s][info][class,load] java.lang.Math source: shared objects file
[0.038s][info][class,load] java.security.cert.Certificate source: shared objects file
[0.038s][info][class,load] java.util.AbstractSet source: shared objects file
[0.038s][info][class,load] java.util.HashSet source: shared objects file
[0.039s][info][class,load] java.util.HashMap source: shared objects file
[0.039s][info][class,load] java.util.concurrent.ConcurrentMap source: shared objects file
[0.039s][info][class,load] java.util.concurrent.ConcurrentHashMap source: shared objects file
[0.039s][info][class,load] java.lang.Runtime source: shared objects file
[0.039s][info][class,load] java.util.concurrent.locks.Lock source: shared objects file
[0.039s][info][class,load] java.util.concurrent.locks.ReentrantLock source: shared objects file
[0.039s][info][class,load] java.util.concurrent.ConcurrentHashMap$Segment source: shared objects file
[0.039s][info][class,load] java.util.concurrent.ConcurrentHashMap$CounterCell source: shared objects file
[0.039s][info][class,load] java.util.Map$Entry source: shared objects file
[0.039s][info][class,load] java.util.concurrent.ConcurrentHashMap$Node source: shared objects file
[0.039s][info][class,load] java.util.concurrent.locks.LockSupport source: shared objects file
[0.039s][info][class,load] java.util.concurrent.ConcurrentHashMap$ReservationNode source: shared objects file
[0.039s][info][class,load] jdk.internal.reflect.ReflectionFactory source: shared objects file
[0.039s][info][class,load] java.lang.ref.Reference$ReferenceHandler source: shared objects file
[0.040s][info][class,load] jdk.internal.ref.Cleaner source: shared objects file
[0.040s][info][class,load] java.lang.ref.ReferenceQueue source: shared objects file
[0.040s][info][class,load] java.lang.ref.ReferenceQueue$Null source: shared objects file
[0.040s][info][class,load] java.lang.ref.ReferenceQueue$Lock source: shared objects file
[0.040s][info][class,load] jdk.internal.access.JavaLangRefAccess source: shared objects file
[0.040s][info][class,load] java.lang.ref.Reference$1 source: shared objects file
[0.040s][info][class,load] java.lang.ref.Finalizer$FinalizerThread source: shared objects file
[0.040s][info][class,load] jdk.internal.util.SystemProps source: shared objects file
[0.040s][info][class,load] jdk.internal.util.SystemProps$Raw source: shared objects file
[0.047s][info][class,load] java.nio.charset.Charset source: shared objects file
[0.047s][info][class,load] java.nio.charset.spi.CharsetProvider source: shared objects file
[0.047s][info][class,load] sun.nio.cs.StandardCharsets source: shared objects file
[0.047s][info][class,load] java.lang.ThreadLocal source: shared objects file
[0.047s][info][class,load] java.util.concurrent.atomic.AtomicInteger source: shared objects file
[0.047s][info][class,load] java.lang.StringLatin1 source: shared objects file
[0.048s][info][class,load] java.util.Arrays source: shared objects file
[0.048s][info][class,load] sun.util.PreHashedMap source: shared objects file
[0.048s][info][class,load] sun.nio.cs.StandardCharsets$Aliases source: shared objects file
[0.048s][info][class,load] sun.nio.cs.StandardCharsets$Cache source: shared objects file
[0.048s][info][class,load] sun.nio.cs.HistoricallyNamedCharset source: shared objects file
[0.048s][info][class,load] sun.nio.cs.Unicode source: shared objects file
[0.048s][info][class,load] sun.nio.cs.UTF_8 source: shared objects file
[0.048s][info][class,load] sun.nio.cs.ISO_8859_1 source: shared objects file
[0.049s][info][class,load] sun.nio.cs.US_ASCII source: shared objects file
[0.049s][info][class,load] java.nio.charset.StandardCharsets source: shared objects file
[0.049s][info][class,load] sun.nio.cs.UTF_16BE source: shared objects file
[0.049s][info][class,load] sun.nio.cs.UTF_16LE source: shared objects file
[0.049s][info][class,load] sun.nio.cs.UTF_16 source: shared objects file
[0.049s][info][class,load] sun.nio.cs.StandardCharsets$Classes source: shared objects file
[0.049s][info][class,load] sun.nio.cs.MS1251 source: jrt:/java.base
[0.049s][info][class,load] java.lang.StringUTF16 source: shared objects file
[0.049s][info][class,load] sun.nio.cs.SingleByte source: shared objects file
[0.050s][info][class,load] java.lang.Class$ReflectionData source: shared objects file
[0.050s][info][class,load] java.lang.Class$Atomic source: shared objects file
[0.050s][info][class,load] java.lang.Class$1 source: shared objects file
[0.050s][info][class,load] java.lang.reflect.Modifier source: shared objects file
[0.050s][info][class,load] jdk.internal.reflect.DelegatingConstructorAccessorImpl source: shared objects file
[0.050s][info][class,load] java.lang.StringCoding source: shared objects file
[0.050s][info][class,load] java.lang.StringCoding$1 source: shared objects file
[0.050s][info][class,load] java.lang.ThreadLocal$ThreadLocalMap source: shared objects file
[0.050s][info][class,load] java.lang.ThreadLocal$ThreadLocalMap$Entry source: shared objects file
[0.050s][info][class,load] jdk.internal.misc.TerminatingThreadLocal source: shared objects file
[0.050s][info][class,load] java.lang.StringCoding$StringDecoder source: shared objects file
[0.050s][info][class,load] java.nio.charset.CharsetDecoder source: shared objects file
[0.050s][info][class,load] sun.nio.cs.ArrayDecoder source: shared objects file
[0.050s][info][class,load] sun.nio.cs.SingleByte$Decoder source: shared objects file
[0.050s][info][class,load] java.nio.charset.CodingErrorAction source: shared objects file
[0.050s][info][class,load] java.lang.StringCoding$Result source: shared objects file
[0.051s][info][class,load] java.util.HashMap$Node source: shared objects file
[0.051s][info][class,load] java.util.LinkedHashMap$Entry source: shared objects file
[0.051s][info][class,load] java.util.HashMap$TreeNode source: shared objects file
[0.051s][info][class,load] java.lang.StringConcatHelper source: shared objects file
[0.051s][info][class,load] java.lang.VersionProps source: shared objects file
[0.051s][info][class,load] java.util.HashMap$EntrySet source: shared objects file
[0.051s][info][class,load] java.util.HashMap$HashIterator source: shared objects file
[0.051s][info][class,load] java.util.HashMap$EntryIterator source: shared objects file
[0.052s][info][class,load] jdk.internal.util.StaticProperty source: shared objects file
[0.052s][info][class,load] java.io.FileInputStream source: shared objects file
[0.052s][info][class,load] java.io.FileDescriptor source: shared objects file
[0.052s][info][class,load] jdk.internal.access.JavaIOFileDescriptorAccess source: shared objects file
[0.052s][info][class,load] java.io.FileDescriptor$1 source: shared objects file
[0.052s][info][class,load] java.io.Flushable source: shared objects file
[0.052s][info][class,load] java.io.OutputStream source: shared objects file
[0.052s][info][class,load] java.io.FileOutputStream source: shared objects file
[0.052s][info][class,load] java.io.FilterInputStream source: shared objects file
[0.052s][info][class,load] java.io.BufferedInputStream source: shared objects file
[0.052s][info][class,load] java.io.FilterOutputStream source: shared objects file
[0.052s][info][class,load] java.io.PrintStream source: shared objects file
[0.052s][info][class,load] java.io.BufferedOutputStream source: shared objects file
[0.052s][info][class,load] java.io.Writer source: shared objects file
[0.052s][info][class,load] java.io.OutputStreamWriter source: shared objects file
[0.052s][info][class,load] sun.security.action.GetPropertyAction source: shared objects file
[0.052s][info][class,load] sun.nio.cs.StreamEncoder source: shared objects file
[0.052s][info][class,load] java.nio.charset.CharsetEncoder source: shared objects file
[0.053s][info][class,load] sun.nio.cs.ArrayEncoder source: shared objects file
[0.053s][info][class,load] sun.nio.cs.SingleByte$Encoder source: shared objects file
[0.053s][info][class,load] java.nio.ByteBuffer source: shared objects file
[0.053s][info][class,load] jdk.internal.access.JavaNioAccess source: shared objects file
[0.053s][info][class,load] java.nio.Buffer$1 source: shared objects file
[0.053s][info][class,load] java.nio.HeapByteBuffer source: shared objects file
[0.053s][info][class,load] java.nio.ByteOrder source: shared objects file
[0.053s][info][class,load] java.io.BufferedWriter source: shared objects file
[0.053s][info][class,load] java.lang.Terminator source: shared objects file
[0.053s][info][class,load] jdk.internal.misc.Signal$Handler source: shared objects file
[0.053s][info][class,load] java.lang.Terminator$1 source: shared objects file
[0.053s][info][class,load] jdk.internal.misc.Signal source: shared objects file
[0.053s][info][class,load] java.util.Hashtable$Entry source: shared objects file
[0.053s][info][class,load] jdk.internal.misc.Signal$NativeHandler source: shared objects file
[0.053s][info][class,load] java.lang.Integer$IntegerCache source: shared objects file
[0.053s][info][class,load] jdk.internal.misc.OSEnvironment source: shared objects file
[0.053s][info][class,load] sun.io.Win32ErrorMode source: shared objects file
[0.054s][info][class,load] jdk.internal.access.JavaLangAccess source: shared objects file
[0.054s][info][class,load] java.lang.System$2 source: shared objects file
[0.054s][info][class,load] java.io.File source: shared objects file
[0.054s][info][class,load] java.io.DefaultFileSystem source: shared objects file
[0.054s][info][class,load] java.io.FileSystem source: shared objects file
[0.054s][info][class,load] java.io.WinNTFileSystem source: shared objects file
[0.054s][info][class,load] java.util.Collections source: shared objects file
[0.054s][info][class,load] java.util.Collections$EmptySet source: shared objects file
[0.054s][info][class,load] java.util.List source: shared objects file
[0.054s][info][class,load] java.util.AbstractList source: shared objects file
[0.054s][info][class,load] java.util.RandomAccess source: shared objects file
[0.054s][info][class,load] java.util.Collections$EmptyList source: shared objects file
[0.054s][info][class,load] java.util.Collections$EmptyMap source: shared objects file
[0.054s][info][class,load] java.lang.IllegalArgumentException source: shared objects file
[0.055s][info][class,load] java.lang.invoke.MethodHandleStatics source: shared objects file
[0.056s][info][class,load] java.lang.CharacterData source: shared objects file
[0.056s][info][class,load] java.lang.CharacterDataLatin1 source: shared objects file
[0.057s][info][class,load] jdk.internal.module.ModuleBootstrap source: shared objects file
[0.057s][info][class,load] java.lang.module.ModuleDescriptor source: shared objects file
[0.057s][info][class,load] jdk.internal.access.JavaLangModuleAccess source: shared objects file
[0.057s][info][class,load] java.lang.module.ModuleDescriptor$1 source: shared objects file
[0.058s][info][class,load] jdk.internal.module.ModulePatcher source: shared objects file
[0.058s][info][class,load] java.util.ImmutableCollections$SetN source: shared objects file
[0.058s][info][class,load] jdk.internal.module.ArchivedModuleGraph source: shared objects file
[0.058s][info][class,load] jdk.internal.module.SystemModuleFinders source: shared objects file
[0.058s][info][class,load] java.net.URI source: shared objects file
[0.058s][info][class,load] jdk.internal.access.JavaNetUriAccess source: shared objects file
[0.058s][info][class,load] java.net.URI$1 source: shared objects file
[0.058s][info][class,load] jdk.internal.module.SystemModulesMap source: shared objects file
[0.058s][info][class,load] jdk.internal.module.SystemModules source: shared objects file
[0.059s][info][class,load] jdk.internal.module.SystemModules$default source: shared objects file
[0.059s][info][class,load] jdk.internal.module.Builder source: shared objects file
[0.059s][info][class,load] java.lang.module.ModuleDescriptor$Requires source: shared objects file
[0.059s][info][class,load] java.lang.module.ModuleDescriptor$Exports source: shared objects file
[0.060s][info][class,load] java.lang.module.ModuleDescriptor$Opens source: shared objects file
[0.060s][info][class,load] java.lang.module.ModuleDescriptor$Provides source: shared objects file
[0.060s][info][class,load] java.util.ImmutableCollections$AbstractImmutableList source: shared objects file
[0.060s][info][class,load] java.util.ImmutableCollections$List12 source: shared objects file
[0.060s][info][class,load] java.lang.module.ModuleDescriptor$Version source: shared objects file
[0.061s][info][class,load] java.util.ArrayList source: shared objects file
[0.061s][info][class,load] java.lang.Enum source: shared objects file
[0.061s][info][class,load] java.lang.module.ModuleDescriptor$Modifier source: shared objects file
[0.061s][info][class,load] java.lang.module.ModuleDescriptor$Requires$Modifier source: shared objects file
[0.062s][info][class,load] java.util.ImmutableCollections$ListN source: shared objects file
[0.064s][info][class,load] jdk.internal.module.ModuleTarget source: shared objects file
[0.064s][info][class,load] jdk.internal.module.ModuleHashes source: shared objects file
[0.064s][info][class,load] jdk.internal.module.ModuleHashes$Builder source: shared objects file
[0.066s][info][class,load] java.util.Collections$UnmodifiableMap source: shared objects file
[0.071s][info][class,load] jdk.internal.module.ModuleResolution source: shared objects file
[0.071s][info][class,load] java.lang.module.ModuleReference source: shared objects file
[0.071s][info][class,load] java.util.function.Supplier source: shared objects file
[0.071s][info][class,load] jdk.internal.module.SystemModuleFinders$2 source: shared objects file
[0.072s][info][class,load] jdk.internal.module.ModuleReferenceImpl source: shared objects file
[0.072s][info][class,load] java.util.KeyValueHolder source: shared objects file
[0.072s][info][class,load] jdk.internal.module.ModuleHashes$HashSupplier source: shared objects file
[0.072s][info][class,load] jdk.internal.module.SystemModuleFinders$3 source: shared objects file
[0.073s][info][class,load] java.lang.module.ModuleFinder source: shared objects file
[0.073s][info][class,load] jdk.internal.module.SystemModuleFinders$SystemModuleFinder source: shared objects file
[0.074s][info][class,load] jdk.internal.module.ModuleBootstrap$Counters source: shared objects file
[0.074s][info][class,load] java.util.Optional source: shared objects file
[0.074s][info][class,load] jdk.internal.loader.BootLoader source: shared objects file
[0.074s][info][class,load] jdk.internal.module.ServicesCatalog source: shared objects file
[0.074s][info][class,load] jdk.internal.loader.AbstractClassLoaderValue source: shared objects file
[0.074s][info][class,load] jdk.internal.loader.ClassLoaderValue source: shared objects file
[0.075s][info][class,load] jdk.internal.loader.ClassLoaders$BootClassLoader source: shared objects file
[0.075s][info][class,load] java.lang.ClassLoader$ParallelLoaders source: shared objects file
[0.075s][info][class,load] java.util.WeakHashMap source: shared objects file
[0.075s][info][class,load] java.util.WeakHashMap$Entry source: shared objects file
[0.075s][info][class,load] java.util.Collections$SetFromMap source: shared objects file
[0.075s][info][class,load] java.util.WeakHashMap$KeySet source: shared objects file
[0.075s][info][class,load] java.util.Vector source: shared objects file
[0.075s][info][class,load] jdk.internal.access.JavaSecurityAccess source: shared objects file
[0.075s][info][class,load] java.security.ProtectionDomain$JavaSecurityAccessImpl source: shared objects file
[0.075s][info][class,load] java.security.ProtectionDomain$Key source: shared objects file
[0.075s][info][class,load] java.security.Principal source: shared objects file
[0.076s][info][class,load] jdk.internal.loader.URLClassPath source: shared objects file
[0.076s][info][class,load] java.net.URLStreamHandlerFactory source: shared objects file
[0.076s][info][class,load] java.net.URL$DefaultFactory source: shared objects file
[0.076s][info][class,load] jdk.internal.access.JavaNetURLAccess source: shared objects file
[0.076s][info][class,load] java.net.URL$3 source: shared objects file
[0.076s][info][class,load] java.io.File$PathStatus source: shared objects file
[0.077s][info][class,load] sun.net.www.ParseUtil source: shared objects file
[0.078s][info][class,load] java.net.URLStreamHandler source: shared objects file
[0.078s][info][class,load] sun.net.www.protocol.file.Handler source: shared objects file
[0.078s][info][class,load] sun.net.util.IPAddressUtil source: shared objects file
[0.086s][info][class,load] jdk.internal.util.ArraysSupport source: shared objects file
[0.094s][info][class,load] java.util.Queue source: shared objects file
[0.094s][info][class,load] java.util.Deque source: shared objects file
[0.094s][info][class,load] java.util.ArrayDeque source: shared objects file
[0.095s][info][class,load] jdk.internal.util.Preconditions source: shared objects file
[0.095s][info][class,load] jdk.internal.loader.BuiltinClassLoader$LoadedModule source: shared objects file
[0.095s][info][class,load] java.util.ImmutableCollections$SetN$SetNIterator source: shared objects file
[0.095s][info][class,load] java.util.ImmutableCollections source: shared objects file
[0.095s][info][class,load] java.lang.reflect.Array source: shared objects file
[0.096s][info][class,load] java.lang.module.Configuration source: shared objects file
[0.096s][info][class,load] java.lang.module.ResolvedModule source: shared objects file
[0.096s][info][class,load] java.util.AbstractMap$1 source: shared objects file
[0.096s][info][class,load] java.util.AbstractMap$1$1 source: shared objects file
[0.096s][info][class,load] java.util.ImmutableCollections$MapN$1 source: shared objects file
[0.096s][info][class,load] java.util.ImmutableCollections$MapN$MapNIterator source: shared objects file
[0.097s][info][class,load] java.util.ImmutableCollections$Set12$1 source: shared objects file
[0.097s][info][class,load] jdk.internal.module.ModuleLoaderMap source: shared objects file
[0.098s][info][class,load] java.util.function.Function source: shared objects file
[0.098s][info][class,load] jdk.internal.module.ModuleLoaderMap$Mapper source: shared objects file
[0.099s][info][class,load] java.lang.ModuleLayer source: shared objects file
[0.099s][info][class,load] java.util.ArrayList$Itr source: shared objects file
[0.103s][info][class,load] java.util.concurrent.CopyOnWriteArrayList source: shared objects file
[0.103s][info][class,load] jdk.internal.module.ServicesCatalog$ServiceProvider source: shared objects file
[0.104s][info][class,load] java.util.ListIterator source: shared objects file
[0.104s][info][class,load] java.util.ImmutableCollections$ListItr source: shared objects file
[0.104s][info][class,load] java.util.HashMap$KeySet source: shared objects file
[0.104s][info][class,load] java.util.HashMap$KeyIterator source: shared objects file
[0.105s][info][class,load] java.lang.ModuleLayer$Controller source: shared objects file
[0.105s][info][class,load] jdk.internal.module.IllegalAccessLogger$Mode source: shared objects file
[0.105s][info][class,load] jdk.internal.module.IllegalAccessLogger$Builder source: shared objects file
[0.105s][info][class,load] java.util.HashMap$Values source: shared objects file
[0.105s][info][class,load] java.util.HashMap$ValueIterator source: shared objects file
[0.105s][info][class,load] java.util.Collections$UnmodifiableCollection source: shared objects file
[0.105s][info][class,load] java.util.Collections$UnmodifiableSet source: shared objects file
[0.106s][info][class,load] jdk.internal.module.ModuleBootstrap$2 source: shared objects file
[0.107s][info][class,load] jdk.internal.module.IllegalAccessLogger source: shared objects file
[0.107s][info][class,load] jdk.internal.vm.PostVMInitHook source: shared objects file
[0.108s][info][class,load] java.util.Locale source: shared objects file
[0.108s][info][class,load] sun.util.locale.BaseLocale source: shared objects file
[0.108s][info][class,load] sun.util.locale.LocaleUtils source: shared objects file
[0.108s][info][class,load] sun.util.locale.BaseLocale$Key source: shared objects file
[0.108s][info][class,load] sun.util.locale.LocaleObjectCache source: shared objects file
[0.108s][info][class,load] sun.util.locale.BaseLocale$Cache source: shared objects file
[0.108s][info][class,load] sun.util.locale.LocaleObjectCache$CacheEntry source: shared objects file
[0.108s][info][class,load] java.util.Locale$Cache source: shared objects file
[0.108s][info][class,load] jdk.internal.vm.PostVMInitHook$2 source: shared objects file
[0.108s][info][class,load] jdk.internal.util.EnvUtils source: shared objects file
[0.109s][info][class,load] java.lang.StringCoding$StringEncoder source: jrt:/java.base
[0.109s][info][class,load] jdk.internal.vm.PostVMInitHook$1 source: shared objects file
[0.110s][info][class,load] sun.launcher.LauncherHelper source: shared objects file
[0.110s][info][class,load] sun.net.util.URLUtil source: shared objects file
[0.110s][info][class,load] java.security.PrivilegedExceptionAction source: shared objects file
