1000 тестов каждого вида выборок, выборки генерируются заново в цикле
 №   | выборка, чел | последовательно | параллельно   | разность, сек | %
 52  | 100          | 0,0000543       | 0,0003579     | -0,0003036    | 559,1 
 53  | 100          | 0,0000572       | 0,0003665     | -0,0003093    | 540,7 
 54  | 100          | 0,0000589       | 0,0003436     | -0,0002847    | 483,4 
 55  | 100          | 0,0000607       | 0,0002871     | -0,0002264    | 373,0 
 56  | 100          | 0,0017524       | 0,0003933     | 0,0013591     | -77,6 
 57  | 100          | 0,0000671       | 0,0002289     | -0,0001618    | 241,1 
 58  | 100          | 0,0000574       | 0,0001770     | -0,0001196    | 208,4 
 59  | 100          | 0,0000793       | 0,0002049     | -0,0001256    | 158,4 
 60  | 100          | 0,0000799       | 0,0004072     | -0,0003273    | 409,6 
 61  | 100          | 0,0000543       | 0,0004117     | -0,0003574    | 658,2 
 62  | 100          | 0,0000535       | 0,0001780     | -0,0001245    | 232,7 
 63  | 100          | 0,0000402       | 0,0001617     | -0,0001215    | 302,2 
 64  | 100          | 0,0000604       | 0,0004154     | -0,0003550    | 587,7 
 65  | 100          | 0,0000598       | 0,0003525     | -0,0002927    | 489,5 
 66  | 100          | 0,0000409       | 0,0015641     | -0,0015232    | 3724,3 
 67  | 100          | 0,0000523       | 0,0014942     | -0,0014419    | 2757,0 
 68  | 100          | 0,0000716       | 0,0005785     | -0,0005069    | 708,0 
 69  | 100          | 0,0000475       | 0,0036572     | -0,0036097    | 7599,2 
 70  | 100          | 0,0000512       | 0,0006918     | -0,0006406    | 1251,1 
 71  | 100          | 0,0000956       | 0,0009864     | -0,0008908    | 931,8 
 72  | 100          | 0,0000669       | 0,0011489     | -0,0010820    | 1617,3 
 73  | 100          | 0,0001057       | 0,0005197     | -0,0004140    | 391,7 
 74  | 100          | 0,0001371       | 0,0003358     | -0,0001987    | 144,9 
 75  | 100          | 0,0000591       | 0,0003347     | -0,0002756    | 466,3 
 76  | 100          | 0,0000382       | 0,0003806     | -0,0003424    | 896,3 
 77  | 100          | 0,0000434       | 0,0003477     | -0,0003043    | 701,2 
 78  | 100          | 0,0000445       | 0,0003168     | -0,0002723    | 611,9 
 79  | 100          | 0,0000464       | 0,0002403     | -0,0001939    | 417,9 
 80  | 100          | 0,0000368       | 0,0002166     | -0,0001798    | 488,6 
 81  | 100          | 0,0000452       | 0,0002685     | -0,0002233    | 494,0 
 82  | 100          | 0,0000487       | 0,0001503     | -0,0001016    | 208,6 
 83  | 100          | 0,0000394       | 0,0001276     | -0,0000882    | 223,9 
 84  | 100          | 0,0000316       | 0,0001431     | -0,0001115    | 352,8 
 85  | 100          | 0,0000465       | 0,0001381     | -0,0000916    | 197,0 
 86  | 100          | 0,0000652       | 0,0001468     | -0,0000816    | 125,1 
 87  | 100          | 0,0000424       | 0,0001461     | -0,0001037    | 244,6 
 88  | 100          | 0,0000401       | 0,0003047     | -0,0002646    | 659,9 
 89  | 100          | 0,0000369       | 0,0003144     | -0,0002775    | 752,0 
 90  | 100          | 0,0000384       | 0,0003784     | -0,0003400    | 885,4 
 91  | 100          | 0,0000470       | 0,0003834     | -0,0003364    | 715,7 
 92  | 100          | 0,0000420       | 0,0003209     | -0,0002789    | 664,1 
 93  | 100          | 0,0000414       | 0,0001576     | -0,0001162    | 280,7 
 94  | 100          | 0,0000422       | 0,0001399     | -0,0000977    | 231,5 
 95  | 100          | 0,0000406       | 0,0001254     | -0,0000848    | 208,9 
 96  | 100          | 0,0000387       | 0,0001356     | -0,0000969    | 250,4 
 97  | 100          | 0,0000408       | 0,0001364     | -0,0000956    | 234,3 
 98  | 100          | 0,0000398       | 0,0001281     | -0,0000883    | 221,9 
 99  | 100          | 0,0000349       | 0,0001559     | -0,0001210    | 346,7 
 100 | 100          | 0,0000454       | 0,0001513     | -0,0001059    | 233,3 
 101 | 100          | 0,0000432       | 0,0001338     | -0,0000906    | 209,7 
 102 | 100          | 0,0000425       | 0,0002777     | -0,0002352    | 553,4 
 103 | 100          | 0,0000679       | 0,0002142     | -0,0001463    | 215,5 
 104 | 100          | 0,0000621       | 0,0002648     | -0,0002027    | 326,4 
 105 | 100          | 0,0000459       | 0,0001456     | -0,0000997    | 217,2 
 106 | 100          | 0,0000434       | 0,0001326     | -0,0000892    | 205,5 
 107 | 100          | 0,0000357       | 0,0001538     | -0,0001181    | 330,8 
 108 | 100          | 0,0000326       | 0,0001380     | -0,0001054    | 323,3 
 109 | 100          | 0,0000425       | 0,0001489     | -0,0001064    | 250,4 
 110 | 100          | 0,0000406       | 0,0001301     | -0,0000895    | 220,4 
 111 | 100          | 0,0000428       | 0,0002446     | -0,0002018    | 471,5 
 112 | 100          | 0,0000362       | 0,0001443     | -0,0001081    | 298,6 
 113 | 100          | 0,0000376       | 0,0001348     | -0,0000972    | 258,5 
 114 | 100          | 0,0000432       | 0,0001246     | -0,0000814    | 188,4 
 115 | 100          | 0,0000346       | 0,0001307     | -0,0000961    | 277,7 
 116 | 100          | 0,0000394       | 0,0001239     | -0,0000845    | 214,5 
 117 | 100          | 0,0000328       | 0,0001274     | -0,0000946    | 288,4 
 118 | 100          | 0,0000330       | 0,0001205     | -0,0000875    | 265,2 
 119 | 100          | 0,0000455       | 0,0001600     | -0,0001145    | 251,6 
 120 | 100          | 0,0000597       | 0,0001290     | -0,0000693    | 116,1 
 121 | 100          | 0,0000398       | 0,0001344     | -0,0000946    | 237,7 
 122 | 100          | 0,0000427       | 0,0005678     | -0,0005251    | 1229,7 
 123 | 100          | 0,0000419       | 0,0006812     | -0,0006393    | 1525,7 
 124 | 100          | 0,0000363       | 0,0005122     | -0,0004759    | 1311,0 
 125 | 100          | 0,0000468       | 0,0005620     | -0,0005152    | 1100,9 
 126 | 100          | 0,0000586       | 0,0008592     | -0,0008006    | 1366,2 
 127 | 100          | 0,0000516       | 0,0005422     | -0,0004906    | 950,8 
 128 | 100          | 0,0002538       | 0,0011631     | -0,0009093    | 358,3 
 129 | 100          | 0,0000806       | 0,0010989     | -0,0010183    | 1263,4 
 130 | 100          | 0,0000393       | 0,0022982     | -0,0022589    | 5747,7 
 131 | 100          | 0,0000597       | 0,0008743     | -0,0008146    | 1364,5 
 132 | 100          | 0,0000348       | 0,0016921     | -0,0016573    | 4762,2 
 133 | 100          | 0,0001028       | 0,0006728     | -0,0005700    | 554,5 
 134 | 100          | 0,0000434       | 0,0005757     | -0,0005323    | 1226,5 
 135 | 100          | 0,0000514       | 0,0004825     | -0,0004311    | 838,7 
 136 | 100          | 0,0000468       | 0,0003180     | -0,0002712    | 579,5 
 137 | 100          | 0,0000441       | 0,0003184     | -0,0002743    | 622,0 
 138 | 100          | 0,0000343       | 0,0001311     | -0,0000968    | 282,2 
 139 | 100          | 0,0000307       | 0,0001213     | -0,0000906    | 295,1 
 140 | 100          | 0,0000440       | 0,0003152     | -0,0002712    | 616,4 
 141 | 100          | 0,0000349       | 0,0002586     | -0,0002237    | 641,0 
 142 | 100          | 0,0000770       | 0,0001727     | -0,0000957    | 124,3 
 143 | 100          | 0,0000470       | 0,0001404     | -0,0000934    | 198,7 
 144 | 100          | 0,0000591       | 0,0002973     | -0,0002382    | 403,0 
 145 | 100          | 0,0000382       | 0,0003532     | -0,0003150    | 824,6 
 146 | 100          | 0,0000423       | 0,0001329     | -0,0000906    | 214,2 
 147 | 100          | 0,0000480       | 0,0002269     | -0,0001789    | 372,7 
 148 | 100          | 0,0000552       | 0,0001481     | -0,0000929    | 168,3 
 149 | 100          | 0,0000354       | 0,0001067     | -0,0000713    | 201,4 
 150 | 100          | 0,0000288       | 0,0003080     | -0,0002792    | 969,4 
 151 | 100          | 0,0000361       | 0,0002796     | -0,0002435    | 674,5 
 152 | 100          | 0,0000394       | 0,0002863     | -0,0002469    | 626,6 
 153 | 100          | 0,0000293       | 0,0002574     | -0,0002281    | 778,5 
 154 | 100          | 0,0000389       | 0,0002965     | -0,0002576    | 662,2 
 155 | 100          | 0,0000275       | 0,0001252     | -0,0000977    | 355,3 
 156 | 100          | 0,0000269       | 0,0001140     | -0,0000871    | 323,8 
 157 | 100          | 0,0000279       | 0,0001082     | -0,0000803    | 287,8 
 158 | 100          | 0,0000248       | 0,0001179     | -0,0000931    | 375,4 
 159 | 100          | 0,0000250       | 0,0001097     | -0,0000847    | 338,8 
 160 | 100          | 0,0000525       | 0,0001676     | -0,0001151    | 219,2 
 161 | 100          | 0,0000384       | 0,0001376     | -0,0000992    | 258,3 
 162 | 100          | 0,0000289       | 0,0001132     | -0,0000843    | 291,7 
 163 | 100          | 0,0000265       | 0,0004916     | -0,0004651    | 1755,2 
 164 | 100          | 0,0000327       | 0,0002859     | -0,0002532    | 774,3 
 165 | 100          | 0,0000352       | 0,0001289     | -0,0000937    | 266,2 
 166 | 100          | 0,0000297       | 0,0001276     | -0,0000979    | 329,6 
 167 | 100          | 0,0000275       | 0,0001336     | -0,0001061    | 385,8 
 168 | 100          | 0,0000326       | 0,0001286     | -0,0000960    | 294,5 
 169 | 100          | 0,0000323       | 0,0001255     | -0,0000932    | 288,6 
 170 | 100          | 0,0000250       | 0,0001418     | -0,0001168    | 467,2 
 171 | 100          | 0,0000251       | 0,0001317     | -0,0001066    | 424,7 
 172 | 100          | 0,0000266       | 0,0001300     | -0,0001034    | 388,7 
 173 | 100          | 0,0000569       | 0,0001412     | -0,0000843    | 148,1 
 174 | 100          | 0,0000261       | 0,0002709     | -0,0002448    | 938,0 
 175 | 100          | 0,0000464       | 0,0001534     | -0,0001070    | 230,6 
 176 | 100          | 0,0000287       | 0,0001374     | -0,0001087    | 378,7 
 177 | 100          | 0,0000324       | 0,0001353     | -0,0001029    | 317,6 
 178 | 100          | 0,0000318       | 0,0001399     | -0,0001081    | 340,0 
 179 | 100          | 0,0000366       | 0,0001786     | -0,0001420    | 388,0 
 180 | 100          | 0,0000380       | 0,0001238     | -0,0000858    | 225,8 
 181 | 100          | 0,0000346       | 0,0001251     | -0,0000905    | 261,6 
 182 | 100          | 0,0000278       | 0,0001299     | -0,0001021    | 367,3 
 183 | 100          | 0,0000332       | 0,0001213     | -0,0000881    | 265,4 
 184 | 100          | 0,0000268       | 0,0005515     | -0,0005247    | 1957,8 
 185 | 100          | 0,0000277       | 0,0005770     | -0,0005493    | 1983,1 
 186 | 100          | 0,0000373       | 0,0005537     | -0,0005164    | 1384,4 
 187 | 100          | 0,0000301       | 0,0005017     | -0,0004716    | 1566,8 
 188 | 100          | 0,0000314       | 0,0005546     | -0,0005232    | 1666,2 
 189 | 100          | 0,0000373       | 0,0005599     | -0,0005226    | 1401,1 
 190 | 100          | 0,0000370       | 0,0004786     | -0,0004416    | 1193,5 
 191 | 100          | 0,0000311       | 0,0005389     | -0,0005078    | 1632,8 
 192 | 100          | 0,0000304       | 0,0009537     | -0,0009233    | 3037,2 
 193 | 100          | 0,0000379       | 0,0001535     | -0,0001156    | 305,0 
 194 | 100          | 0,0000255       | 0,0001238     | -0,0000983    | 385,5 
 195 | 100          | 0,0000319       | 0,0001198     | -0,0000879    | 275,5 
 196 | 100          | 0,0000317       | 0,0001346     | -0,0001029    | 324,6 
 197 | 100          | 0,0000235       | 0,0001361     | -0,0001126    | 479,1 
 198 | 100          | 0,0000299       | 0,0001136     | -0,0000837    | 279,9 
 199 | 100          | 0,0000375       | 0,0001379     | -0,0001004    | 267,7 
 200 | 100          | 0,0000452       | 0,0001395     | -0,0000943    | 208,6 
 201 | 100          | 0,0000276       | 0,0001779     | -0,0001503    | 544,6 
 202 | 100          | 0,0000487       | 0,0002879     | -0,0002392    | 491,2 
 203 | 100          | 0,0000673       | 0,0001821     | -0,0001148    | 170,6 
 204 | 100          | 0,0000355       | 0,0001567     | -0,0001212    | 341,4 
 205 | 100          | 0,0000333       | 0,0002535     | -0,0002202    | 661,2 
 206 | 100          | 0,0000288       | 0,0002583     | -0,0002295    | 796,9 
 207 | 100          | 0,0000287       | 0,0003088     | -0,0002801    | 976,0 
 208 | 100          | 0,0000265       | 0,0003050     | -0,0002785    | 1050,9 
 209 | 100          | 0,0000252       | 0,0001401     | -0,0001149    | 455,9 
 210 | 100          | 0,0000269       | 0,0003068     | -0,0002799    | 1040,6 
 211 | 100          | 0,0000246       | 0,0002955     | -0,0002709    | 1101,2 
 212 | 100          | 0,0000261       | 0,0002998     | -0,0002737    | 1048,7 
 213 | 100          | 0,0000250       | 0,0002876     | -0,0002626    | 1050,4 
 214 | 100          | 0,0000316       | 0,0002794     | -0,0002478    | 784,2 
 215 | 100          | 0,0000244       | 0,0002733     | -0,0002489    | 1020,1 
 216 | 100          | 0,0000314       | 0,0003766     | -0,0003452    | 1099,4 
 217 | 100          | 0,0000325       | 0,0002820     | -0,0002495    | 767,7 
 218 | 100          | 0,0000495       | 0,0003174     | -0,0002679    | 541,2 
 219 | 100          | 0,0000309       | 0,0002653     | -0,0002344    | 758,6 
 220 | 100          | 0,0000289       | 0,0002736     | -0,0002447    | 846,7 
 221 | 100          | 0,0000245       | 0,0002670     | -0,0002425    | 989,8 
 222 | 100          | 0,0000254       | 0,0001074     | -0,0000820    | 322,8 
 223 | 100          | 0,0000238       | 0,0000854     | -0,0000616    | 258,8 
 224 | 100          | 0,0000225       | 0,0000962     | -0,0000737    | 327,6 
 225 | 100          | 0,0000238       | 0,0002759     | -0,0002521    | 1059,3 
 226 | 100          | 0,0000250       | 0,0002735     | -0,0002485    | 994,0 
 227 | 100          | 0,0000228       | 0,0002490     | -0,0002262    | 992,1 
 228 | 100          | 0,0000230       | 0,0002621     | -0,0002391    | 1039,6 
 229 | 100          | 0,0000242       | 0,0002726     | -0,0002484    | 1026,4 
 230 | 100          | 0,0000250       | 0,0002585     | -0,0002335    | 934,0 
 231 | 100          | 0,0000246       | 0,0002729     | -0,0002483    | 1009,3 
 232 | 100          | 0,0000236       | 0,0002770     | -0,0002534    | 1073,7 
 233 | 100          | 0,0000226       | 0,0002751     | -0,0002525    | 1117,3 
 234 | 100          | 0,0000245       | 0,0002770     | -0,0002525    | 1030,6 
 235 | 100          | 0,0000241       | 0,0002746     | -0,0002505    | 1039,4 
 236 | 100          | 0,0000243       | 0,0002711     | -0,0002468    | 1015,7 
 237 | 100          | 0,0000246       | 0,0002714     | -0,0002468    | 1003,3 
 238 | 100          | 0,0000264       | 0,0002597     | -0,0002333    | 883,7 
 239 | 100          | 0,0000275       | 0,0002925     | -0,0002650    | 963,7 
 240 | 100          | 0,0000252       | 0,0002838     | -0,0002586    | 1026,2 
 241 | 100          | 0,0000219       | 0,0002699     | -0,0002480    | 1132,5 
 242 | 100          | 0,0000225       | 0,0002145     | -0,0001920    | 853,3 
 243 | 100          | 0,0000570       | 0,0000845     | -0,0000275    | 48,2 
 244 | 100          | 0,0000248       | 0,0002118     | -0,0001870    | 754,0 
 245 | 100          | 0,0000236       | 0,0002648     | -0,0002412    | 1022,0 
 246 | 100          | 0,0000245       | 0,0002536     | -0,0002291    | 935,1 
 247 | 100          | 0,0000240       | 0,0002549     | -0,0002309    | 962,1 
 248 | 100          | 0,0000284       | 0,0000842     | -0,0000558    | 196,5 
 249 | 100          | 0,0000219       | 0,0000545     | -0,0000326    | 148,9 
 250 | 100          | 0,0000230       | 0,0000559     | -0,0000329    | 143,0 
 251 | 100          | 0,0000231       | 0,0000709     | -0,0000478    | 206,9 
 252 | 100          | 0,0000229       | 0,0000550     | -0,0000321    | 140,2 
 253 | 100          | 0,0000239       | 0,0000560     | -0,0000321    | 134,3 
 254 | 100          | 0,0000221       | 0,0000544     | -0,0000323    | 146,2 
 255 | 100          | 0,0000203       | 0,0000525     | -0,0000322    | 158,6 
 256 | 100          | 0,0000256       | 0,0002624     | -0,0002368    | 925,0 
 257 | 100          | 0,0000242       | 0,0000594     | -0,0000352    | 145,5 
 258 | 100          | 0,0000239       | 0,0000584     | -0,0000345    | 144,4 
 259 | 100          | 0,0000290       | 0,0000550     | -0,0000260    | 89,7 
 260 | 100          | 0,0000246       | 0,0000546     | -0,0000300    | 122,0 
 261 | 100          | 0,0000200       | 0,0000535     | -0,0000335    | 167,5 
 262 | 100          | 0,0000210       | 0,0000511     | -0,0000301    | 143,3 
 263 | 100          | 0,0026763       | 0,0007953     | 0,0018810     | -70,3 
 264 | 100          | 0,0000269       | 0,0003949     | -0,0003680    | 1368,0 
 265 | 100          | 0,0000908       | 0,0003155     | -0,0002247    | 247,5 
 266 | 100          | 0,0000226       | 0,0001477     | -0,0001251    | 553,5 
 267 | 100          | 0,0000214       | 0,0001634     | -0,0001420    | 663,6 
 268 | 100          | 0,0000220       | 0,0000605     | -0,0000385    | 175,0 
 269 | 100          | 0,0000199       | 0,0000575     | -0,0000376    | 188,9 
 270 | 100          | 0,0000205       | 0,0000538     | -0,0000333    | 162,4 
 271 | 100          | 0,0000196       | 0,0000551     | -0,0000355    | 181,1 
 272 | 100          | 0,0000196       | 0,0000544     | -0,0000348    | 177,5 
 273 | 100          | 0,0000189       | 0,0000536     | -0,0000347    | 183,6 
 274 | 100          | 0,0000188       | 0,0000531     | -0,0000343    | 182,4 
 275 | 100          | 0,0000194       | 0,0000546     | -0,0000352    | 181,5 
 276 | 100          | 0,0000297       | 0,0000734     | -0,0000437    | 147,1 
 277 | 100          | 0,0000221       | 0,0000571     | -0,0000350    | 158,4 
 278 | 100          | 0,0000210       | 0,0000538     | -0,0000328    | 156,2 
 279 | 100          | 0,0000217       | 0,0000706     | -0,0000489    | 225,3 
 280 | 100          | 0,0000197       | 0,0000758     | -0,0000561    | 284,8 
 281 | 100          | 0,0000219       | 0,0000581     | -0,0000362    | 165,3 
 282 | 100          | 0,0000207       | 0,0000571     | -0,0000364    | 175,9 
 283 | 100          | 0,0000197       | 0,0000560     | -0,0000363    | 184,3 
 284 | 100          | 0,0000197       | 0,0000556     | -0,0000359    | 182,2 
 285 | 100          | 0,0000194       | 0,0000543     | -0,0000349    | 179,9 
 286 | 100          | 0,0000195       | 0,0000559     | -0,0000364    | 186,7 
 287 | 100          | 0,0000196       | 0,0000543     | -0,0000347    | 177,0 
 288 | 100          | 0,0000194       | 0,0009222     | -0,0009028    | 4653,6 
 289 | 100          | 0,0000336       | 0,0001723     | -0,0001387    | 412,8 
 290 | 100          | 0,0000221       | 0,0001197     | -0,0000976    | 441,7 
 291 | 100          | 0,0000192       | 0,0001335     | -0,0001143    | 595,3 
 292 | 100          | 0,0000197       | 0,0001377     | -0,0001180    | 598,9 
 293 | 100          | 0,0000208       | 0,0001399     | -0,0001191    | 572,6 
 294 | 100          | 0,0000200       | 0,0001291     | -0,0001091    | 545,5 
 295 | 100          | 0,0000214       | 0,0001186     | -0,0000972    | 454,2 
 296 | 100          | 0,0000217       | 0,0001240     | -0,0001023    | 471,5 
 297 | 100          | 0,0000205       | 0,0001312     | -0,0001107    | 540,0 
 298 | 100          | 0,0000203       | 0,0001268     | -0,0001065    | 524,6 
 299 | 100          | 0,0000202       | 0,0001317     | -0,0001115    | 552,0 
 300 | 100          | 0,0000195       | 0,0001289     | -0,0001094    | 561,1 
 301 | 100          | 0,0000186       | 0,0001223     | -0,0001037    | 557,5 
 302 | 100          | 0,0000208       | 0,0001202     | -0,0000994    | 477,9 
 303 | 100          | 0,0000193       | 0,0001176     | -0,0000983    | 509,4 
 304 | 100          | 0,0000208       | 0,0000673     | -0,0000465    | 223,5 
 305 | 100          | 0,0000188       | 0,0001173     | -0,0000985    | 524,0 
 306 | 100          | 0,0000633       | 0,0000831     | -0,0000198    | 31,3 
 307 | 100          | 0,0000340       | 0,0000831     | -0,0000491    | 144,4 
 308 | 100          | 0,0000262       | 0,0000772     | -0,0000510    | 194,6 
 309 | 100          | 0,0000252       | 0,0001576     | -0,0001324    | 525,4 
 310 | 100          | 0,0000245       | 0,0000693     | -0,0000448    | 182,9 
 311 | 100          | 0,0000198       | 0,0000927     | -0,0000729    | 368,2 
 312 | 100          | 0,0000201       | 0,0001307     | -0,0001106    | 550,2 
 313 | 100          | 0,0000222       | 0,0001271     | -0,0001049    | 472,5 
 314 | 100          | 0,0000186       | 0,0001194     | -0,0001008    | 541,9 
 315 | 100          | 0,0000199       | 0,0001341     | -0,0001142    | 573,8 
 316 | 100          | 0,0000219       | 0,0001433     | -0,0001214    | 554,3 
 317 | 100          | 0,0000222       | 0,0001211     | -0,0000989    | 445,5 
 318 | 100          | 0,0000207       | 0,0001191     | -0,0000984    | 475,4 
 319 | 100          | 0,0000219       | 0,0002501     | -0,0002282    | 1042,0 
 320 | 100          | 0,0000506       | 0,0001127     | -0,0000621    | 122,7 
 321 | 100          | 0,0000227       | 0,0000613     | -0,0000386    | 170,0 
 322 | 100          | 0,0000231       | 0,0000615     | -0,0000384    | 166,2 
 323 | 100          | 0,0000221       | 0,0000602     | -0,0000381    | 172,4 
 324 | 100          | 0,0000209       | 0,0000556     | -0,0000347    | 166,0 
 325 | 100          | 0,0000230       | 0,0000598     | -0,0000368    | 160,0 
 326 | 100          | 0,0000192       | 0,0000545     | -0,0000353    | 183,8 
 327 | 100          | 0,0000194       | 0,0000537     | -0,0000343    | 176,8 
 328 | 100          | 0,0000208       | 0,0000547     | -0,0000339    | 163,0 
 329 | 100          | 0,0000264       | 0,0002575     | -0,0002311    | 875,3 
 330 | 100          | 0,0000257       | 0,0000795     | -0,0000538    | 209,3 
 331 | 100          | 0,0000218       | 0,0000569     | -0,0000351    | 161,0 
 332 | 100          | 0,0000187       | 0,0000679     | -0,0000492    | 263,1 
 333 | 100          | 0,0000193       | 0,0000671     | -0,0000478    | 247,7 
 334 | 100          | 0,0000218       | 0,0000565     | -0,0000347    | 159,2 
 335 | 100          | 0,0000238       | 0,0000717     | -0,0000479    | 201,3 
 336 | 100          | 0,0000213       | 0,0002428     | -0,0002215    | 1040,0 
 337 | 100          | 0,0000257       | 0,0002437     | -0,0002180    | 848,2 
 338 | 100          | 0,0000263       | 0,0001592     | -0,0001329    | 505,3 
 339 | 100          | 0,0000227       | 0,0000596     | -0,0000369    | 162,6 
 340 | 100          | 0,0000192       | 0,0000542     | -0,0000350    | 182,3 
 341 | 100          | 0,0000172       | 0,0000490     | -0,0000318    | 184,9 
 342 | 100          | 0,0000188       | 0,0000535     | -0,0000347    | 184,6 
 343 | 100          | 0,0000196       | 0,0000514     | -0,0000318    | 162,2 
 344 | 100          | 0,0000198       | 0,0000537     | -0,0000339    | 171,2 
 345 | 100          | 0,0000202       | 0,0000585     | -0,0000383    | 189,6 
 346 | 100          | 0,0000201       | 0,0000543     | -0,0000342    | 170,1 
 347 | 100          | 0,0000203       | 0,0000526     | -0,0000323    | 159,1 
 348 | 100          | 0,0000192       | 0,0000570     | -0,0000378    | 196,9 
 349 | 100          | 0,0000200       | 0,0000532     | -0,0000332    | 166,0 
 350 | 100          | 0,0000192       | 0,0002288     | -0,0002096    | 1091,6 
 351 | 100          | 0,0000209       | 0,0002061     | -0,0001852    | 886,2 
 352 | 100          | 0,0000254       | 0,0002375     | -0,0002121    | 835,1 
 353 | 100          | 0,0000235       | 0,0002303     | -0,0002068    | 880,0 
 354 | 100          | 0,0000216       | 0,0001679     | -0,0001463    | 677,3 
 355 | 100          | 0,0000255       | 0,0001298     | -0,0001043    | 409,0 
 356 | 100          | 0,0000214       | 0,0001527     | -0,0001313    | 613,5 
 357 | 100          | 0,0000217       | 0,0000609     | -0,0000392    | 180,6 
 358 | 100          | 0,0000173       | 0,0000582     | -0,0000409    | 236,4 
 359 | 100          | 0,0000235       | 0,0001025     | -0,0000790    | 336,2 
 360 | 100          | 0,0000204       | 0,0000672     | -0,0000468    | 229,4 
 361 | 100          | 0,0000247       | 0,0001323     | -0,0001076    | 435,6 
 362 | 100          | 0,0000203       | 0,0001389     | -0,0001186    | 584,3 
 363 | 100          | 0,0000186       | 0,0000883     | -0,0000697    | 374,7 
